particle n.微粒,极小量
feverishly ad. 兴奋地, 发热地
antifungal a.  抗真菌的, 杀真菌的
flashy a.  浮华的
dimly ad.  微暗, 朦胧
earthward ad.  向地球, 向地面
overwhelmingly ad. 压倒性地, 不可抵抗地
stressful a. 紧张的, 压力重的
exertion n. 努力, 发挥,运用
deformity n.  残缺, 畸形
disruptive a.  使破裂的, 分裂性的
girder n.  梁
bustle v.  匆匆忙忙
unforeseen a.无法预料的
conversational a.会话的, 对话的
abbreviate v.  缩写, 简化
adviser n.  顾问,
clarification n.  澄清, 净化
speechwriter n.  演讲稿撰写人
televisual a. 电视的
electrify vt.  使充电, 使通电
legislative a.立法的, 立法机关的
melodic a.  有旋律的,调子美妙的
predictably ad. 可预言地, 不出所料地
climatically ad. 气候上, 风土上
lethargic a.昏睡的
fluke n.侥幸，偶然的机会
blowhole n. 喷水孔, 通风孔
pathology n.  病理学
helper n.  帮忙者, 助手
programme n.程序, 编程
curvature n.  弯曲, 曲率
endpoint n. 端点
vocational a.职业的，业务的
datebase n.数据库, 资料库
shyness n.  羞怯, 胆怯
lethargy n.  无生气
hostility n.  敌意, 不友善
credential n.  外交使节所递的国书, 信任状
disorientation n. 迷失方向, 迷惑
additionally ad.另外, 同时
uninterrupted a.  不停的, 连续的
bureaucratization n. 官化
dissension n.  意见不同, 纠纷
embryonic a.胚胎的，萌芽期的
breakup n.破裂, 崩溃
bylaw n. 附则, 法规
republish vt.  再版, 重新发表
publicly ad.  公然地, 舆论上
distantly a.疏远的, 遥远的
oily a.  油的, 油滑的
categorize v.  加以类别, 分类
severity n.  严肃, 严格
definitively ad. 决定性地, 最后地
lineage n.  血统, 世系
pique n.生气, 愤怒
newscast n.  <美>新闻广播
fateful a.重大的；不幸的
antipathy n.  憎恶, 反感
hurtle v.  急飞
glisten v.  闪光
predate v.  提早日期, 居先
finnish a.  芬兰的
cenote n.天然井
empathy n.移情作用, 共鸣
hardwood n.  硬木, 阔叶树
sash n.腰带，肩带
foment vt.  [医]热敷
pretentious a.自命不凡的，自负的
heredity n.  遗传, 形质遗传
yean v. 生产, 生育
dining n.  吃饭
amenity n.  宜人, 礼仪
changeover n.转换, 大变更
meander vi.蜿蜒而行
skylight n.  天窗
palatable a.味美的
contender n.竞争者
invariable n./a. 不变的, 永恒的
depreciation n.  贬值, 减价
unspecified a. 未详细说明的
helplessness n.无能为力
retentive a.有记忆力的
amplifier n.扩音器, 放大器
unfailingly ad. 无穷尽地, 可靠地
bulge n./v.膨胀，鼓起
undiscovered a.未被发现的
helplessly ad.无能为力地
optometrist n.  验光师, 视力测定者
merciless a.残忍的；无情的
strenuous a.奋发的, 费力的, 积极的
passion n.激情，热情
emancipate vt.释放, 解放
protagonist n.提倡者，支持者
leo n.[天]狮子座，狮子宫
grimly ad.  严格地,冷酷地
apportion v.  分配
commentator n. 评论员, 解说员
earning n.  所得,收入
bankruptcy n.  破产
subjugation n.  镇压, 平息
uncontrollably a.无法管束的, 控制不住的
consortium n.财团, 联合, 合伙
preventive a.  预防性的
supplementary a.增补的，补充的
multidirectional a. 多方向的
booklet n.  小册子
curio n.  古董, 古玩
chandler n.  杂货零售商
speck n.  斑点
encircle vt.  环绕, 围绕
surmount vt.克服；置于…顶上
californian n.  加利福尼亚州人 a.  加州的
reaumur n./a. 列氏温度计(的)
mycology n.  [植]真菌学
glean v.  拾落穗, 收集
nevus n.  [医]痣
watcher n. 监票员, 看守人
ostrich n.  鸵鸟
faintly ad.  微弱地, 朦胧地
dazzlingly ad.  灿烂地, 耀眼地
tint n.  色彩
varve n.[地质]纹泥
server n.  服务器
benign a.仁慈的, 温和的, 良性的
feathery a.生有羽毛的,柔软如羽毛的
churn v.  搅拌, 搅动
awhile ad.  片刻, 一会儿
proudly ad.  骄傲地
oilskin n.  油布, 防水布
unnoticed a.不被注意的, 被忽视的
thunderous a.打雷的, 雷鸣般的
faraway a.遥远的
ploy n.花招，手段
squeak n.吱吱声.v.吱吱叫
crouch vi.  蜷缩, 蹲伏
regain vt.收回；恢复
heroism n.  英雄品质, 英雄主义
inconspicuously ad. 难以觉察地, 不显著地
matron n.主妇；护士长
suspension n.暂停, 中止
stratagem n.  战略, 计谋
vole n.田鼠
mimic vt.模仿, 模拟
unmanageable a.难处理的, 难控制的
rivet n.铆钉  v.固定
hairy a.毛发的，多毛的
flyway n.  候鸟迁徙所经的路径
nozzle n.  管口, 喷嘴
bonanza n.走运，发财
overburden vt.  装载过多, 负担过多
lavish a.无节制的；浪费的 vt.慷慨给予，挥霍
bravery n.  勇敢
creek n.  小溪, 小河,
waster n.  挥霍者, 废品
stamford n.斯坦福德[美国康涅狄格州西南部城市]
trapper n.捕兽者, 捕捉器
romantically ad. 浪漫地, 空想地
prosecute v.起(公)诉，告发
sonic a.  音速的
enthusiast n.  热心家, 狂热者
gingham n.条纹棉布
shoeshine n.  鞋油, 擦皮鞋
politely ad.有礼貌地
modestly ad.  谨慎地, 适当地
confluence n.  汇合
crunch vi./n.嘎吱嘎吱地响(声)
juggle v./n.玩杂耍
mormon n.  摩门教徒, 一夫多妻主义者
atheist n.  无神论者
gallop n. /v.疾驰, 飞奔
trestle n.架柱, 支架
ravine n.  沟壑, 峡谷
spidery a.  蜘蛛(网)一般的, 细长足的
wildcatter n.  投机份子
onlooker n.  旁观者
folly n.  愚蠢, 荒唐事
trespasser n. 侵入者, 侵犯者
waxes n.蜡，蜂蜡 vt.给…上蜡
refiner n.  精炼者, 精炼机
richly ad.  富裕地, 丰富地
remodel vt.  重新塑造, 改造
kier n. 漂煮锅
seepage n.  渗流, 渗出的量
ponytail n.  马尾辫(一种发型)
disuse n./v.废弃, 废止
adequately ad.  充分地
facsimile n.  摹写, 传真
unproductive a.不生产的, 徒劳的
methodical a.有条理的，井然的
unnoticeable a. 不引人注意的(
termination n.  终止
irreparable a.无法修复的，不能挽回的
birthright n.  生来就有的权利, 长子继承权
negotiation n.  商议, 谈判
fruitless a.  不结果实的
conscription n.  征召
aloof a.冷漠的
delectable a.  使人愉快的
intermittent a.间歇的，断断续续的
hatchery n.  孵卵所
doggedly ad.  固执地, 顽强地
depot n.贮藏所, 仓库
minnesota n.  明尼苏达州(美国州名)
erupt vt.  喷出 vi.  爆发
phonetic a. 语音的,语音学的
chic a.别致的, 时髦的
slapstick n.  闹剧, 趣剧
hairdo n. 发型
maraca n.  [音]沙球
beater n.  搅拌器
craze n.  狂热
synthesizer n.  综合者, [电子]合成器
blip n.（在雷达屏幕显示出的）物体光点, 尖音信号
indiscernible a.看不清的
lopsided a.倾向一方的, 不平衡的
hippopotamus n.  河马
tapir n.  [动]貘
horsefly n.  马蝇
nonelectronic a. 非电子的
vestige n.痕迹
reverently ad. 恭敬地, 虔诚地
homeless a. 无家的, 无家可归的
mystify v.  迷惑
mesmerize v.  施催眠术
undifferentiated a. 无差别的, 一致的
gravitation n.  地心吸力, 引力作用
sled n.(小)雪撬
swampy a. 沼泽的，似沼泽的
pickaxe n.鹤嘴锄, 手镐
taint v.  感染 n.  污点
pestilential a. 引起瘟疫的, 有害的
miasmic a. 毒气的, 瘴气的
onstage a.台上的,舞台表演区的
holm n.(河，湖中的)小岛
anymore ad.  不再, 再也不
trainload n.  装载量, 列车载重
ziggurat n.  古代亚述及巴比伦之金字形神塔(顶上有神殿)
shapeless a.  不成形的, 无定形的
troupe n.  剧团
postmodern a. 后现代主义的
expressionless a.无表情的
foghorn n.[航海]雾角,尖而响的声音
majestic a.雄伟的，壮丽的
viennese n./a. 维也纳人（语）(的)
commissioner n.  委员, 专员
plum n.  [植] 李子, 洋李
stilt n.  高跷, 支柱
stele n.  石碑,  匾额
chronology n.  年代学, 年表
overt a.  明显的, 公然的
colorfully a. 华美的, 富有色彩的
eminence n.  出众, 显赫
beacon n.信号灯，闪光灯
stubbornness n.  倔强, 顽强
prearrange v.  预先安排
softball n.  垒球运动, 垒球
shakespeare n.  莎士比亚(1564-1616,英国剧作家,诗人)
cither n.  齐特拉琴(古希腊一种类似竖琴的古乐器)
modernistic a. 现代的, 现代主义的
wick n.  蜡烛心, 灯芯
corp n.  公司
sturdiness n.  强健, 雄壮, 坚固
wicker n.  柳条 a.  柳条制的
austere a.简朴的, 严厉的
astrological a. 占星的, 占星术的
mirage n.  海市蜃楼,幻想
repertory n.  仓库
nearness n.  靠近, 接近
pavlova n.  奶油水果蛋白饼
schoolroom n.  教室
grandparents n. 外祖父母, 祖父母
fruitfulness n. 多产, 肥沃
ignition n.  点火, 点燃
midwestern a. 美国中西部的
interject vt.  插嘴, 突然插入
lightness n.  轻盈, 灵活
idyllic a.  田园短诗的, 牧歌的
resonance n.共鸣,  反响
allegory n.  寓言
pretense n.借口,伪装，自吹
gratuitous a.无缘无故的；免费的
liveliness n.  活泼
stench n.  恶臭, 臭气
slime n.  粘土, 粘液
tern n.  三个一组, [鸟]燕鸥
starlike a.  星形的, 星般闪烁的
slimy a.黏滑的, 卑劣的
storeroom n.  储藏室, 库房
oakland n. 奥克兰(美国加利福尼亚州西部城市)
allude vi.暗指，提及
sunburst n.  从云隙射下的阳光
lordly a.高贵的；高傲的
rebellious a.反抗的，难控制的
disciple n.  信徒, 弟子
tadpole n.  [动]蝌蚪
propensity n.  倾向
wildflower n.  野花
stifle v. 窒息, 抑制
debut n.首次演出，初次露面
sufficiency n.充足；充裕
foray v./n.突袭，偷袭
lacquer n.漆, 漆器
gobi n.  戈壁
academically ad. 学业上
summarization n.  摘要, 概要
haphazardly ad. 不规则地, 随意地
geometrically ad. 成几何级数(图形)地
solidly ad.  坚硬地, 稳固地
embroider v.刺绣，修饰
drugstore n. 药房, 杂货店
speckle n.小斑点  vt.点缀
gentlemanly a.绅士派头的
override vt.不顾，否决
citadel n.  根据地, 大本营
fresher n.  大学一年级新生, 新鲜人
outcry n.  大声疾呼
postgraduate n. 研究生
endear vt.  使亲密
participator n.参加者
trespass n./v.侵犯，擅自进入
darn v.缝补，补缀
irony n.  反话, 讽刺
cheerless a.  不快活的
sovereignty n.  君主, 主权
renunciation n.放弃，抛弃
calvinist n.  加尔文教徒(见calvin)
sociability n.  好交际,善于交际
frivolity n.  轻薄,轻浮
womanhood n.  女人,女人气质
patriarchal a.家长的, 族长的
disinterest n.无兴趣, 不关心
luce n.  一种成鱼
writhe vi.翻滚，扭动
ventilation n.  通风, 流通空气
babble v.说蠢话，牙牙学语
belle n.  美女
fragility n.  脆弱, 虚弱
innocence n.  清白
nonconformity n.  不信奉国教
cardinal  a.  主要的, 最重要的
fervor n.  热情, 热烈
rosy a.  蔷薇色的, 玫瑰红色的
telecommuter n. 远程工作者
seduce vt.勾引；引诱
programmer n.  程序师, 程序规划员
paycheck n. 薪水支票, 工资
accountant n.  会计(员), 会计师
solitude n.  孤独
chary a.小心的，审慎的
farmhand n.  农业工人，农场工人
tardiness n.  缓慢
harvester n.  收割机
reliant a.信赖的, 依靠的
facet n.小平面, 方面, 刻面
transpose vt. 调换, 颠倒顺序
culturally ad. 人文地, 文化地
iconographic a. 肖像的, 图像材料的
earnestness n. 坚定, 认真
folkloric a. 民间传说的, 民俗的
vibrant a.震动的；明亮的
coherence n.  一致
reprieve n./ v.缓刑，暂时解救
malfunction n.  故障
eloquent a. 雄辩的, 有口才的
introspective a.反省的
etching n.  蚀刻版画
gouache n.  树胶水彩画
frisky a.  活泼的, 欢闹的
yelp n.咆哮
barrelful n.  一桶之量, 大量
unwell a.  不舒服的
chaotically ad. 浑沌地
fearsome a.  可怕的
scour vt.四处搜索；洗涤
philology n.  语言学, 文献学
unobservable a. 不可见的
sluggishly a.缓慢的, 懒惰的
balsam n.  香液
weightily ad.  沉重地, 重要地
zoology n.  动物学, 生态
replant v.  再植, 改种
nonessential a.  非本质的
sensational a.轰动的, 耸人听闻的
filmy a.  薄膜的, 朦胧的
pearly a.  珍珠似的
nationally ad.全国性地, 在全国范围内
listless a.  倦怠的, 冷漠的
aloft ad.  在高处, 在上
hacienda n.  庄园
vaguest a.含糊的，不明确的
furnishing n. 供给(装备)
oversight n. 疏忽,  看管
stinger n.  刺激者, 讽刺者
inundate v.  淹没
luster n.  光彩, 光泽
housewares n.  家用器皿
drainpipe n.  排水管
trash n.垃圾, 废物
clayware n.  黏土制品
weedy a.杂草多的
mermaid n.美人鱼
hart n.  雄赤鹿
chant n.  圣歌
plaza n.广场，集市
slay v.杀死，宰杀
falsely a.  虚伪地,  错误地
emergent a.  紧急的
landownership n.  土地所有
metaphysical a.  形而上学的, 纯粹哲学的
joyous a.  快乐的, 高兴的
forceful a.有力的, 强烈的
reluctance n.  不愿, 勉强
epithet n.  绰号, 称号
collapsible a.可折叠的;可拆卸的
scruffy a.肮脏的，不洁的
derisive a.嘲笑的
messy a. 肮脏的, 凌乱的
fragmentary a.  由碎片组成的
oxidizable a. 可氧化的
difluoride n. 二氟化物
zirconium n.  锆
publicity n.  公开
relict n.残遗物
effortlessly ad.毫不费力地, 轻易地
defensible a.可防御的
idealistic a.理想主义的, 空想的
blister n.  水泡
statuette n.  小雕像
featureless a. 无特色的, 平凡的
creed n.  信条
scraggly a.  零乱的, 锯齿状的
slapdash a.  匆促的
shrubby a.灌木的
brutal a.  残忍的, 兽性的
impinge v.  撞击
scrubbiness a.褴褛的,灌木丛生的
flavin n.  [化]黄素, 四羟酮醇
mountainside n.  山腹, 山腰
avalanche n./v.雪崩
sunbaked a. 晒干的
testimony n.  证词, 宣言
alumina n.  [化]氧化铝(亦称矾土)
hairlike a.  毛一般的, 细微的
coating n.  被覆, 衣料
wee a.  很少的, 微小的
rationalism n.  理性主义, 唯理论
willful a.  任性的, 故意的
worthiness n.  价值,值得
moralistic a.狭隘道德观的, 说教的
conscientious a.认真的，勤勤恳恳的
syntax n. 语法, 句法
loudness n.  大声, 喧闹
playful a.爱玩耍的；幽默的
discontinuity n.不连续, 中断
prosaic a.单调乏味的,平淡的
shroud n. 裹尸布, 寿衣.vt.  用裹尸布裹, 遮蔽
landholder n.  地主, 土地拥有者
workable a.可经营的, 可使用的
moralism n. 道德主义, 说教
dune n.沙丘
monarchy n.  君主政体, 君主国
nationalism n.  民族主义, 国家主义
flowerpot n.  花盆, 花钵
resale n.  再贩卖, 转售
dubious a.  可疑的, 不确定的
centralization n.  集中, 中央集权化
profusion n.  丰富
seacoast n.海滨
lush a. 茂盛的, 丰富的
champagne n.  香槟酒
pesky a.讨厌的，烦人的
overtone n.寓意；眩外音；暗示
purposefully ad. 有目的地, 蓄意地
dislodge v.  驱逐
lint n.绷带用麻布
shortness n.  短缺
domestically ad.家庭式地,国内地
behaviorist n. 行为主义者, 行为科学家
foil n.  箔, 金属薄片
newsworthy a.  有报导价值的
imminent a.逼近的, 即将发生的
proficiently ad. 熟练地
locomotor a.  运动的
wirephoto n.  有线传真
attractively ad.有吸引力地，诱人地
comminute v.  使成粉末,粉碎
indebted a.受惠的, 负债的
cache v.贮藏，隐藏  n.藏物处
germination n.  萌芽, 发生
unseen a.  未见过的
cognition n.  认识
forelimb n.  前肢
limy a.含石灰的, 石灰似的
lithographic a. 石版印刷的, 石版的
lagoon n.  泻湖 礁湖
numeral n.  数字
eloquently ad. 雄辩地, 有口才地
extravagantly ad. 挥霍无度地
crest n.浪尖, 冠
centrality n.  中心, 中央
insatiable a.不知足的, 贪求无厌的
prospective a.  预期的
obstruction n.  阻塞, 妨碍
procure v.  获得, 取得
putrefaction n.  腐败, 腐败物
pasteurization n.  加热杀菌法, 巴斯德杀菌法
summertime n. 夏季
meltdown n.  彻底垮台
chlorate n.  [化]氯酸盐
intersection n. 交集, 交叉点
stepper n.行走的人或动物, 跳舞者
supposition n.  假定, 想象
smoothness n. 平坦， 光滑
vertically ad.  垂直地
dichotomy n.  两分, 二分法
clipper n.  大剪刀, 快速帆船修剪者
acoustical a. 听觉的, 声学的
kitchenware n.  厨房用具
intimidate v.  胁迫
serviceable a. 有用地，耐用的
chalky a.  白垩的
yorkshire n.  约克郡,约克夏(英国英格兰原郡名)
renowned a. 有名的, 有声誉的
kinfolk n.  亲属
nonliving a. 无生命的, 非活体的
impervious a.不透的；不受影响的
deceptive a.骗人的，造成假象的
wok n. 锅，炒菜锅
self-expression n.  自我表现
appraisal n.估计, 评估
lone a.孤独的，寂寞的
dissenter n.持异议者
enure vt.使习惯于.vi.变得更有利
conformity n.  一致, 符合
unanimity n.  全体一致
pedagogical a.教学(法)的
hopper n.  单足跳者
scientifically ad. 科学地, 系统地
modus n.  方法, 形式
laborsaving a.节省劳力的;省力气的
spontaneity n.  自发性
paperback n.  平装本, 纸面本
topical a.有关时事的
ratchet n.棘轮, 棘齿
humiliate v.  羞辱, 使丢脸
conduction n.  传导
indefinitely ad.不确定地
unused a.不用的；未消耗的
ala n. (昆虫的)翼, 翅
terrifyingly ad. 恐怖地
kinsman n.  男性亲戚, 同族者
norman n./a.法国诺曼第人(的)
chaste a.  贞洁的, 朴素的
sully v.  玷污
mouldy a.  发霉的, 腐朽的, 旧式的
hygiene n.  卫生, 卫生学
slothful a.偷懒的
forefather n.  祖先, 祖宗
soundly ad.完全地, 健全地
torpor n.麻木,不活泼
lull vt.缓和 n.暂时的平息
lash n./ v.鞭打
cementation n.  粘固
trumpeter n.  喇叭手, 号兵
breathless a.  无声息的, 喘不过气来的
convene v.  召集, 集合
wingless a.无翼的, 没有翅膀的
sweaty a.  出汗的, 吃力的
brawl vi.争吵, 怒骂
useable a. 可用的, 有效的
clockmaker n.  制造或修理钟表者
linkage n.  联接
multifunctional a.多功能的
vigor n.  精力, 活力
parliament n.  国会, 议会
oust vt.  剥夺,取代,罢免
chapbook n.  小本的诗歌集或故事书
sage a.智慧的  n.智者
rejoin v.再结合, 再加入
debtor n.  债务人
penal a.  刑事的
wrapper n.  包装材料,包装纸
outright a.  直率的, 彻底的 ad.  直率地, 彻底地
orphanage n.  孤儿院, 孤儿身份
authentic a. 可信的,真正的
florist n.  种花人
fragrance n.  芬芳, 香气
daddy n.  爸爸
eventual a.  最后的, 结局的
agonize v.  使极度痛苦, 折磨
oft ad.  常常, 再三
horde n.  游牧部落
primer n.  初级读本,原始物
revert v.  回复
copyright n.  版权, 著作权
dutchman n.  荷兰人
salesperson n.  售货员
pelt n.  投掷, 毛皮 v.  剥...的皮, 投掷
lowa n.  爱荷华州(美国中西部的一州)
pella n. 斗篷
goldsmith n.  金匠
woodblock n.  木板 〈印〉木版
image-bearing a. 形象的
upwind a.  逆风的 ad.  逆风地
volatility n.  挥发性
nostalgic a.  乡愁的, 怀旧的
pike n.  长枪, 梭子鱼 vt.  用矛刺穿
seaboard n.  海岸, 沿海地方 a. 海滨的
corrosive a.  腐蚀的, 蚀坏的 n.  腐蚀物
rut n.  定例, 惯例 v.  在...形成车辙
tenuous a.  纤细的,稀薄的
guarantor n.  [律]保证人
omnipotent a.  全能的, 无所不能的
overland a. /ad.经过陆地的, 陆上的
interstate a.  州际的
carnation n.  荷兰石竹, 康乃馨, 粉红色
sty n.  猪栏 v.  住在猪圈里, 关入猪栏
undecided a.  未定的, (天气等)不稳定的
oasis n.  (沙漠中)绿洲,舒适的地方
irregularly ad. 不规则地,不整齐地
gregarious a. 社交的,群居的
pervasive a.  普遍的,深入的
uninhabitable a. 不适宜居住的
venom n.  (蛇的)毒液, 恶意 vt.  放毒, 使恶毒
placental a.  胎盘的 n.  有胎盘哺乳动物
spiny a.  多剌的, 剌状的
anteater n.  [动]食蚁动物
vagary n.  奇特行为, 奇想
modulation n.  调制
acoustic a.  有关声音的, 声学的
marsupial n.  有袋动物 a.  有袋动物的
dwindle v.  缩小
outpouring n.  倾泄, 流出, 流露
oxygen-free a. 无氧的,不需要氧气的
beluga n.  (欧洲)白色大鳇鱼, 白鲸
insensitivity n. 感觉迟钝,不灵敏性
anaerobic a. 厌氧的,厌气的
enrichment n.  发财致富, 丰富, 肥沃
coincidence n.  一致,  同时发生或同时存在(尤指偶然)的事
fine-quality a. 优良品质的
printmaker n.  版画复制匠
lithography n.  平版印刷术
rationale n.  基本原理
serigraphy n.  绢印, 绢网印艺术
profit-making a. 盈利的
chimp n.  (非洲)黑猩猩
waterworks n. 自来水厂,供水系统
lieu n.  场所
self-protection a. 自卫的
parkway n.  公园道路, 驾车专用道路
serene a.  平静的 n.宁静
boulevard n.  <美>林荫大道
omission n.  冗长,疏漏
implementation n.  执行
multipurpose a.  多种用途的, 多目标的
restful a.  宁静的
preexist v.  先前存在
incipient a. 初期的,初始的
metamorphic a. 变质的,变性的
sidewalk n.  人行道
salt-rich a. 富含盐的
libelous a. 诽谤的,损害名誉的
broker n.  掮客, 经纪人
washingtonian n. /a. (美国)华盛顿市(或州)人
mass-circulation a. 大批量发行的
sensationalism n.  追求轰动效应, 感觉论
aromatic a.  芬芳的
unmistakable a. 明显的,不会弄错的
weird a.  怪异的, 超自然的, 不可思议的
pollinate vt.  对...授粉
runway n.  飞机跑道, 斜坡跑道, 河道
irresistible a. 不可抵抗的,不能压制的
rampant a.  猖獗的, 蔓生的
crossbreed n.  [生物]杂种 v.  异种交配
intrusion n.  闯入, 侵扰
inactivate vt.  使不活泼, 阻止活动
pollination n.  授粉
recognizable a. 可辨认的,可认识的
unwillingly ad. 不情愿地,勉强地
impartially ad. 公平地,无私地
retrain v.  重新教育, 再教育
irrationally ad. 无理性地,不合理地
boon n.  恩惠, 福利
unavoidably ad. 不可避免地,不得已地
layman n.  外行
racetrack n.  (主要用于赛马, 赛狗的)跑道
inoffensive a. 不触犯人的,无害的
boomer n. 生育高峰中出生的人
cynthia n.  月亮女神, 月亮
struggler n. 奋斗者,斗争者
honorable a. 光荣的,高贵的
impregnate vt.  使怀孕, 使受精 a.  怀孕的, 充满的
enthusiastically ad. 热心地,满腔热情地
consecutive a. 连贯的,连续不断的
needy a.  贫困的, 缺乏生活必需品的
bequest n.  遗产, 遗赠
childless a.  无儿女的
cuticle n.  表皮,角质层
spiky a.  大钉似的, 尖刻的
waxy a.  象蜡的,苍白的, 柔软的,
unpalatable a. 味道差的,难吃的
epidermis n.  [生]表皮, 上皮
immobilize vt.  固定不动
deterrent n.  威慑 a. 遏制的
infest vt.  骚扰,大批滋生
rancho n.  大牧场(或大农场)工人住的棚屋
breach n.  破坏, 裂口 vt.  打破, 突破
left-hander n. 用左手的人
crayon n.  有色粉笔, 蜡笔
unwary a.  粗心的, 不警惕的
sapiens a. （拉）现代人的
left-sided a. 左侧的
mastodon n.  [古生]乳齿象, 庞然大物
preeminent a.  卓越的
ingeniously ad. 贤明地,有才能地
daunt vt.  沮丧
monochromatic a. 单色的
educable a.  可教育的, 可培养的
scam n.  诡计 v. 诓骗
astute a.  机敏的, 狡猾的
emboss vt.  饰以浮饰, 使浮雕出来
embellish v.  修饰
unread a.  没有人看的, 无学问的
reinterpretation n. 重新解释
postdate vt.  填迟...的日期 n.  事后日期
mania n.  [医]颠狂, 狂躁, 癖好, 狂热
stash v. 存放 n.  隐藏处
speedy a.  快的, 迅速的
prepay vt.  预付
loathsome a.  讨厌的
counterfeit n.赝品  a.伪造的 v.  伪造
sender n.  寄件人,发送人
affix vt.  使附于, 粘贴 n.  [语]词缀
self-educated a. 自学的
obsess vt.  迷住, 使困扰
demolish vt.  毁坏, 推翻, 粉碎
glaciate vt.  使结冰, 以冰(或冰河)覆盖
ambience n.  周围环境, 气氛
cab n.  出租汽车
frenzy n.  狂暴, 狂怒 vt.使发狂
melodrama n.  情节剧
cincinnati n. 辛辛那提（美国俄亥俄州西南部城市）
trove n.  被发现的东西, 收藏的东西
acronym n.  只取首字母的缩写词
labyrinth n.  迷路, 迷宫, 难解的事物
rubble n.  碎石
rainer n. 人工降雨装置,喷灌装置
yesteryear n.  去年 ad.  过去不久的岁月
horse-powered a. 马力
well-organized a. 组织有序的
lore n.  学问,（动物的）眼光知识
mortar n.  灰泥,迫击炮 vt. 用灰泥结合
incongruity n.  不调和的, 不适宜的
tableland n.  高原
fullness n.  满, 丰富, 成熟
recoil n.  畏缩, 弹回 vi.  退却, 畏缩
musicologist n.  音乐学者
forte n.  长处
percussive a. 冲击的,叩诊的
multistory a. 多层的,有多层楼的
hammerhead n.  锤头 a.  锤头状的, 鲁钝的
induct v.  感应,引导
rain-forest n.热带雨林
most-distinctive a. 最有特色的
coincident a. 一致的,符合的
assort v.  分类配全
forgiveness n.  宽恕, 宽仁之心
oat n.  [植]燕麦, 麦片粥
differentiating a. 微分的
symphonic a.  交响乐的, 和声的
violinist n.  小提琴演奏者, 小提琴家
cellist n.  大提琴演奏家
upsurge n.  高潮 vi.涌起
phenomenal a. 现象的,显著的
midocean n. 海洋中央
iron-rich n. 变形
omnibus n.  公共汽车, 精选集 a.  综合性的
accessibility n.  易接近, 可到达的
unoccupied a. 空闲的,未占领的
catalyze vt.  催化, 刺激, 促进
suite n.  (一批)随员, (一套)家具, 组
scavenge v.  打扫, 以(腐肉)为食
subdivision n.  细分, 一部
juvenile a.  青少年的 n.  青少年, 少年读物
treetop n.  树稍
ancestry n.  祖先(集合称), 血统
virginal a.  处女的, 无瑕的
dulcimer n.  [乐] 洋琴
unpublished a. 未公开出版的,未发表过的
twine n.  合股线 v. 织, (使)缠绕
jumble v.  混杂, 搞乱 n.  混乱
bituminous a. 沥青的,含沥青的
toil n.  苦工, 圈套 v. 费力地做
insurmountable a. 不能克服的,不能超越的
instantaneously ad. 即刻,突如其来地
prohibitively ad. 禁止地,过分地
unprocessed a. 未被加工的
uncooked a. 未煮过的
forecaster n.  预报员
untouched a.  未触及的, 未改变的
mennonite n.  门诺派教徒
humility n.  谦卑
torrential a. 猛烈的,汹涌的
advantageously ad. 有利地,方便地
merchandis n. 商品,货物 v. 买卖
proboscidean a.  长鼻类的 n. 长鼻目动物
ill-conceived a. 构想拙劣的
premium n.  额外费用, 奖金, 奖赏
precursor n.  先驱
economize v.  节省, 有效地利用
haven n.  港口, 避难所
tranquillity n. 宁静
competitiveness n. 竞争力,好竞争
atomization n.  分离成原子, 雾化
custodian n.  管理人
stagnate v.  (使)淤塞, (使)停滞, (使)沉滞, (使)变萧条
civility n.  礼貌, 端庄
unbridgeable a. 不能架桥的,不能逾越的
determinedly ad. 决然地,断然地
abandonment n.  放弃
mimetic a. 模仿的,拟态的
fictive a.  虚构的, 想象上的
shudder n. 震动 vi.战栗, 发抖
insanity n.  精神错乱, 疯狂, 愚顽
pinon n.  矮松, 矮松果
juniper n.  [植]刺柏属丛木或树木
eke vt.  补充, 增加
hem n.  边,缘 v.  给...缝边
briny a.  盐水的, 咸的, 海水的
midlatitude n. 中间纬度
regenerate v.  使新生, 重建 a.  新生的, 更新的
eviscerate v.  取出内脏, 除去精华
sparingly ad.  节俭地, 保守地
squirt v.  喷出
sanction n.  支持, 制裁 vt. 支持, 鼓励
antagonistic a. 敌对的,对抗性的
buggy a.  多虫的 n. 童车
infrequently ad. 罕见地, 稀少的
quiescent a.  静止的
inanity n.  空虚, 愚蠢
romancer n.传奇小说作家, 讲虚构故事的人
strikingly ad.  醒目地, 引人侧目地
akin a.同类的
voracious a.狼吞虎咽的, 贪婪的
gourmet n.  美食家
supremely ad. 无上地, 崇高地
complacence n. 自满
pleasantly ad.令人愉快地；舒适地
supervision n.  监督, 管理
humanist n.  人道主义者, 人文主义者
cannibalism n.同类相食
satirist n.  讽刺作家
distend v.  (使)扩大, (使)扩张
balmy a.芳香的, 温和的
compo n.组合物,混合涂料
pressurize vt.  增压, 密封
freshness n. 新鲜, 精神饱满
wearer n.  穿用者, 佩带者
dimensional a.  维度的, 空间的, 尺寸的
dependably ad.  可信任地
reexamine v.  复试
sanctimonious a. 伪装虔诚的, 道貌岸然的
frenetic a.  发狂的, 狂热的
distinctively ad/ 区别地, 特殊地
prod v.  刺
irreverence a.  不尊敬的
briskness n.  敏捷, 活泼
ethically ad. 伦理(学)上
